metric,auc,raw_auc,dense_needed_direction,gmean,tpr,fpr,routed_accuracy,dense_fraction,accuracy_gap_vs_dense,best_routed_accuracy_any_threshold,best_routed_dense_fraction,best_routed_accuracy_dense_le_60,best_routed_dense_fraction_dense_le_60,best_routed_accuracy_dense_le_75,best_routed_dense_fraction_dense_le_75,accuracy_at_min_dense_fraction_for_87p5,min_dense_fraction_for_87p5_accuracy,note
sparse_prefix_pred_wrong_oracle_warning,0.8685481820493263,0.8685481820493263,higher,0.8685051594360944,0.8771929824561403,0.14009661835748793,0.9053030303030303,0.29924242424242425,-0.011363636363636354,0.9053030303030303,0.29924242424242425,0.9053030303030303,0.29924242424242425,0.9053030303030303,0.29924242424242425,0.9053030303030303,0.29924242424242425,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
sparse_prefix_low_confidence_margin,0.7714213068904143,0.7714213068904143,higher,0.7258266371143135,0.7368421052631579,0.28502415458937197,0.8560606060606061,0.38257575757575757,0.037878787878787845,0.8939393939393939,0.9166666666666666,0.8863636363636364,0.5833333333333334,0.8901515151515151,0.6325757575757576,0.8825757575757576,0.5378787878787878,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
sparse_prefix_entropy,0.6977709975421647,0.6977709975421647,higher,0.6498645441601042,0.5789473684210527,0.27053140096618356,0.8257575757575758,0.3371212121212121,0.06818181818181812,0.8939393939393939,0.7462121212121212,0.875,0.5984848484848485,0.8939393939393939,0.7462121212121212,0.875,0.5984848484848485,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
rank_vote_input_features,0.6930248326129332,0.6930248326129332,higher,0.6881240474187674,0.6491228070175439,0.27053140096618356,0.8371212121212122,0.3522727272727273,0.05681818181818177,0.8939393939393939,0.9696969696969697,0.8674242424242424,0.5265151515151515,0.8787878787878788,0.6704545454545454,0.875,0.6515151515151515,Exploratory same-set rank-vote over input-only metrics.
sparse_prefix_low_confidence_max_rate,0.66340367827782,0.66340367827782,higher,0.6297966206415149,0.6842105263157895,0.42028985507246375,0.8446969696969697,0.4772727272727273,0.0492424242424242,0.8977272727272727,0.9507575757575758,0.8560606060606061,0.571969696969697,0.8825757575757576,0.75,0.875,0.6628787878787878,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
latest_age_mean,0.5938638867700653,0.4061361132299347,lower,0.5873197483661834,0.6491228070175439,0.46859903381642515,0.8446969696969697,0.5075757575757576,0.0492424242424242,0.8939393939393939,0.9696969696969697,0.8484848484848485,0.5227272727272727,0.8484848484848485,0.5227272727272727,0.875,0.7992424242424242,
latest_age_std,0.5922535808119332,0.40774641918806676,lower,0.5771300325731098,0.5263157894736842,0.3671497584541063,0.821969696969697,0.4015151515151515,0.0719696969696969,0.8977272727272727,0.8787878787878788,0.8446969696969697,0.5946969696969697,0.875,0.7386363636363636,0.875,0.7386363636363636,
coarse_lzc640,0.5776336977709975,0.42236630222900245,lower,0.560743637111981,0.6140350877192983,0.48792270531400966,0.8257575757575758,0.5151515151515151,0.06818181818181812,0.8939393939393939,0.9507575757575758,0.8409090909090909,0.5946969696969697,0.875,0.7234848484848485,0.875,0.7234848484848485,
temporal_std,0.5746249682176455,0.4253750317823545,lower,0.5633072223016298,0.5614035087719298,0.43478260869565216,0.8333333333333334,0.4621212121212121,0.06060606060606055,0.8939393939393939,0.9621212121212122,0.8371212121212122,0.48863636363636365,0.8636363636363636,0.7159090909090909,0.875,0.8636363636363636,
x_spread_entropy,0.5741164505466565,0.5741164505466565,higher,0.5568000300044901,0.543859649122807,0.42995169082125606,0.8143939393939394,0.45454545454545453,0.07954545454545447,0.8939393939393939,0.9583333333333334,0.8295454545454546,0.5606060606060606,0.8446969696969697,0.7386363636363636,0.875,0.8939393939393939,
coarse_time_std,0.5688617679464362,0.43113823205356383,lower,0.5695913219941335,0.7719298245614035,0.5797101449275363,0.8636363636363636,0.6212121212121212,0.030303030303030276,0.8939393939393939,0.9848484848484849,0.8484848484848485,0.5946969696969697,0.8712121212121212,0.6704545454545454,0.875,0.8522727272727273,
sparse_prefix_output_spikes,0.5651750148317655,0.43482498516823453,lower,0.5580923521074299,0.6140350877192983,0.4927536231884058,0.8295454545454546,0.5189393939393939,0.06439393939393934,0.8977272727272727,0.9734848484848485,0.8409090909090909,0.5795454545454546,0.8674242424242424,0.75,0.875,0.8371212121212122,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
transition_coarse_cells,0.5634375794558861,0.4365624205441139,lower,0.555123147255971,0.631578947368421,0.5120772946859904,0.8295454545454546,0.5378787878787878,0.06439393939393934,0.8977272727272727,0.9659090909090909,0.8371212121212122,0.571969696969697,0.8636363636363636,0.7462121212121212,0.875,0.7992424242424242,
count_per_one,0.562929061784897,0.43707093821510296,lower,0.5763953027620804,0.7017543859649122,0.5265700483091788,0.8409090909090909,0.5643939393939394,0.05303030303030298,0.8939393939393939,0.9924242424242424,0.8446969696969697,0.5909090909090909,0.8560606060606061,0.7272727272727273,0.875,0.8825757575757576,
q0_count,0.5474192728197305,0.4525807271802695,lower,0.5514467945790075,0.45614035087719296,0.3333333333333333,0.8068181818181818,0.35984848484848486,0.08712121212121215,0.8939393939393939,0.9583333333333334,0.8371212121212122,0.5833333333333334,0.8598484848484849,0.7083333333333334,0.875,0.8598484848484849,
siti_spatial_sobel_std_max,0.5405542842613781,0.4594457157386219,lower,0.5393256046265059,0.6842105263157895,0.5748792270531401,0.8371212121212122,0.5984848484848485,0.05681818181818177,0.8939393939393939,1.0,0.8371212121212122,0.5984848484848485,0.8522727272727273,0.6628787878787878,0.875,0.8674242424242424,
q0_ones,0.5405119077887957,0.4594880922112044,lower,0.5558097562348633,0.47368421052631576,0.34782608695652173,0.803030303030303,0.375,0.09090909090909094,0.8977272727272727,0.9772727272727273,0.8409090909090909,0.5871212121212122,0.8598484848484849,0.6818181818181818,0.875,0.8901515151515151,
siti_spatial_sobel_std_mean,0.5403000254258836,0.45969997457411643,lower,0.5393256046265059,0.6842105263157895,0.5748792270531401,0.8371212121212122,0.5984848484848485,0.05681818181818177,0.8939393939393939,1.0,0.8371212121212122,0.5984848484848485,0.8522727272727273,0.7348484848484849,0.875,0.8560606060606061,
siti_temporal_mse_mean,0.5399610136452242,0.4600389863547758,lower,0.5391684355703852,0.6140350877192983,0.5265700483091788,0.8257575757575758,0.5454545454545454,0.06818181818181812,0.8939393939393939,1.0,0.8371212121212122,0.5909090909090909,0.8522727272727273,0.6515151515151515,0.875,0.8636363636363636,
