sparse_result,dense_results,use_sparse,use_dense
0,0.0,1.0,False,True
1,1.0,1.0,True,False
2,0.0,1.0,False,True
3,1.0,1.0,True,False
4,1.0,1.0,True,False
5,1.0,1.0,True,False
6,1.0,1.0,True,False
7,1.0,1.0,True,False
8,1.0,1.0,True,False
9,1.0,1.0,True,False
10,1.0,1.0,True,False
11,1.0,1.0,True,False
12,1.0,1.0,True,False
13,0.0,1.0,False,True
14,1.0,0.0,True,False
15,0.0,1.0,False,True
16,1.0,1.0,True,False
17,1.0,1.0,True,False
18,1.0,1.0,True,False
19,1.0,1.0,True,False
20,1.0,1.0,True,False
21,0.0,1.0,False,True
22,1.0,1.0,True,False
23,0.0,1.0,False,True
24,1.0,1.0,True,False
25,0.0,1.0,False,True
26,1.0,1.0,True,False
27,1.0,1.0,True,False
28,1.0,1.0,True,False
29,1.0,1.0,True,False
30,1.0,1.0,True,False
31,1.0,1.0,True,False
32,0.0,1.0,False,True
33,1.0,1.0,True,False
34,0.0,1.0,False,True
35,1.0,1.0,True,False
36,1.0,1.0,True,False
37,1.0,1.0,True,False
38,1.0,1.0,True,False
39,1.0,1.0,True,False
40,1.0,1.0,True,False
41,1.0,1.0,True,False
42,1.0,1.0,True,False
43,1.0,1.0,True,False
44,1.0,1.0,True,False
45,1.0,1.0,True,False
46,0.0,1.0,False,True
47,1.0,1.0,True,False
48,1.0,1.0,True,False
49,1.0,1.0,True,False
50,0.0,1.0,False,True
51,1.0,1.0,True,False
52,1.0,1.0,True,False
53,1.0,1.0,True,False
54,0.0,0.0,False,True
55,1.0,1.0,True,False
56,1.0,1.0,True,False
57,1.0,1.0,True,False
58,1.0,1.0,True,False
59,1.0,1.0,True,False
60,0.0,1.0,False,True
61,1.0,1.0,True,False
62,1.0,1.0,True,False
63,1.0,1.0,True,False
64,1.0,1.0,True,False
65,0.0,1.0,False,True
66,1.0,1.0,True,False
67,1.0,1.0,True,False
68,1.0,1.0,True,False
69,1.0,1.0,True,False
70,1.0,1.0,True,False
71,1.0,1.0,True,False
72,1.0,1.0,True,False
73,1.0,0.0,True,False
74,1.0,1.0,True,False
75,1.0,1.0,True,False
76,0.0,1.0,False,True
77,0.0,1.0,False,True
78,0.0,0.0,False,True
79,1.0,1.0,True,False
80,0.0,0.0,False,True
81,1.0,1.0,True,False
82,0.0,1.0,False,True
83,0.0,1.0,False,True
84,0.0,1.0,False,True
85,1.0,1.0,True,False
86,1.0,1.0,True,False
87,0.0,0.0,False,True
88,1.0,1.0,True,False
89,1.0,1.0,True,False
90,1.0,1.0,True,False
91,0.0,1.0,False,True
92,1.0,1.0,True,False
93,1.0,1.0,True,False
94,1.0,1.0,True,False
95,1.0,1.0,True,False
96,1.0,1.0,True,False
97,0.0,1.0,False,True
98,1.0,1.0,True,False
99,1.0,1.0,True,False
100,1.0,1.0,True,False
101,1.0,1.0,True,False
102,0.0,1.0,False,True
103,1.0,1.0,True,False
104,0.0,1.0,False,True
105,1.0,1.0,True,False
106,1.0,1.0,True,False
107,1.0,1.0,True,False
108,1.0,1.0,True,False
109,1.0,1.0,True,False
110,1.0,1.0,True,False
111,1.0,1.0,True,False
112,1.0,1.0,True,False
113,0.0,1.0,False,True
114,1.0,1.0,True,False
115,0.0,1.0,False,True
116,1.0,1.0,True,False
117,1.0,1.0,True,False
118,1.0,1.0,True,False
119,1.0,1.0,True,False
120,1.0,1.0,True,False
121,1.0,1.0,True,False
122,1.0,1.0,True,False
123,1.0,1.0,True,False
124,1.0,1.0,True,False
125,1.0,1.0,True,False
126,1.0,1.0,True,False
127,1.0,1.0,True,False
128,1.0,1.0,True,False
129,1.0,1.0,True,False
130,1.0,1.0,True,False
131,1.0,1.0,True,False
