idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41
0,4235.0,132.34375,36.181496,1783.0,0.504574,0.007321682,0.0432949,7.0,2.142857,0.57520664,567.0,0.0,495.0,0.0,492.0,0.0,561.0,0.0,361.0,0.0,720.0,0.0,495.0,0.0,544.0,0.0,0.59430265,0.042433146,-0.28567842,-0.352063,-0.32944322,-0.30115327,-0.18972164,0.049425445,0.11699558,0.064947486,0.28429043,0.17966683,0.12314207,0.066958375,0.15379924,0.010199992
1,5485.0,171.40625,28.762888,1834.0,0.46833888,0.005652808,0.03489349,8.0,2.125,0.6021878,879.0,0.0,730.0,0.0,689.0,0.0,675.0,0.0,621.0,0.0,642.0,0.0,695.0,0.0,554.0,0.0,0.2313966,0.19767179,0.6620565,-0.064008206,-0.0318422,0.4558109,-0.15993452,-0.066142544,0.23927017,0.19198003,0.17583427,0.15465203,0.09859103,0.04774656,0.054043744,0.037882175
2,4393.0,137.28125,31.725615,1829.0,0.48777014,0.007058288,0.04199692,5.0,3.0,0.5508764,684.0,0.0,422.0,0.0,593.0,0.0,585.0,0.0,464.0,0.0,648.0,0.0,442.0,0.0,555.0,0.0,0.5093821,0.12143442,-0.19554406,-0.43276286,-0.49079645,-0.36637414,-0.19182427,-0.0054394174,0.021259148,0.071729206,0.4062581,0.12316113,0.062112603,0.12081707,0.061707247,0.13295549
3,4370.0,136.5625,27.911621,1866.0,0.51701486,0.0070954454,0.04218062,5.0,3.2,0.5823799,556.0,0.0,613.0,0.0,388.0,0.0,507.0,0.0,525.0,0.0,532.0,0.0,587.0,0.0,662.0,0.0,0.64167726,0.1977243,-0.12095224,-0.16731995,-0.08402898,-0.011811569,0.043232676,-0.027859395,0.20840877,0.10888226,0.18113703,0.13178274,0.18920517,0.08503213,0.0118318,0.0837201
4,2990.0,93.4375,30.53373,1515.0,0.4867839,0.010371362,0.057701103,9.0,1.7777778,0.632107,415.0,0.0,365.0,0.0,420.0,0.0,356.0,0.0,339.0,0.0,409.0,0.0,388.0,0.0,298.0,0.0,0.036095582,-0.58685625,0.009058102,0.5561647,-0.19899844,-0.61945814,0.027279314,0.4652,0.009538706,0.06490242,0.16111284,0.09771358,0.059724834,0.108180635,0.07349417,0.4253328
5,5086.0,158.9375,34.608467,2036.0,0.5003171,0.0060963617,0.037169572,6.0,2.5,0.5574125,650.0,0.0,713.0,0.0,505.0,0.0,619.0,0.0,641.0,0.0,730.0,0.0,582.0,0.0,646.0,0.0,0.40055692,-0.12733084,-0.31966484,-0.17722456,-0.14245394,-0.20146951,-0.11018814,0.14182645,0.05708412,0.17703658,0.110449724,0.16397044,0.21184927,0.027622966,0.22142929,0.0305576
6,5516.0,172.375,16.820282,1716.0,0.49780697,0.0056210337,0.034729127,9.0,1.7777778,0.5384337,719.0,0.0,690.0,0.0,673.0,0.0,668.0,0.0,697.0,0.0,708.0,0.0,670.0,0.0,691.0,0.0,-0.19238588,-0.24882987,0.15841421,0.054419562,-0.17826842,0.11348166,-0.225933,-0.12281162,0.08172568,0.093705125,0.17174228,0.034567613,0.09767532,0.09918245,0.24759363,0.1738079
7,5362.0,167.5625,16.552828,1738.0,0.4936651,0.005782503,0.035562523,7.0,1.8571428,0.4449832,712.0,0.0,667.0,0.0,681.0,0.0,628.0,0.0,728.0,0.0,646.0,0.0,671.0,0.0,629.0,0.0,0.1812721,-0.03947026,-0.08747977,-0.36001632,-0.08663952,0.111982845,-0.0781221,0.0057347133,0.0061236867,0.1653122,0.17374596,0.20920497,0.24350318,0.04622268,0.11866757,0.037219737
8,3195.0,99.84375,28.013512,1516.0,0.48365894,0.009705698,0.054644763,8.0,2.125,0.65790296,475.0,0.0,418.0,0.0,393.0,0.0,389.0,0.0,375.0,0.0,383.0,0.0,394.0,0.0,368.0,0.0,0.122725636,-0.7278325,-0.29220256,0.5973746,0.4050146,-0.38995546,-0.4472343,0.18518594,0.038707837,0.05083444,0.0646426,0.063762516,0.062914275,0.14889616,0.342237,0.22800517
9,3344.0,104.5,20.310097,1478.0,0.4951092,0.009273108,0.052634027,7.0,2.0,0.5122608,512.0,0.0,372.0,0.0,403.0,0.0,335.0,0.0,459.0,0.0,407.0,0.0,443.0,0.0,413.0,0.0,0.11835227,0.16575758,0.16035984,-0.4592803,0.0026325758,-0.03871212,-0.18732955,0.33719698,0.17956197,0.14649522,0.16462056,0.15941724,0.16909711,0.053062726,0.045379322,0.082365856
10,5258.0,164.3125,41.245785,2461.0,0.4583185,0.0058968994,0.036150202,6.0,2.8333333,0.62552303,842.0,0.0,770.0,0.0,656.0,0.0,611.0,0.0,681.0,0.0,609.0,0.0,530.0,0.0,559.0,0.0,0.2544487,0.18647276,0.20476902,0.0006483763,0.03644476,0.10940783,0.018114425,0.16942224,0.17480433,0.21969041,0.021756629,0.20926453,0.11249613,0.098941125,0.019932607,0.14311425
11,19341.0,604.40625,97.331215,3320.0,0.496053,0.0016028956,0.011917756,11.0,1.3636364,0.53223723,2136.0,0.0,2753.0,0.0,2398.0,0.0,2569.0,0.0,2440.0,0.0,2439.0,0.0,2456.0,0.0,2150.0,0.0,-0.28504643,-0.06868896,0.5501596,-0.59534585,0.18747413,0.2611296,-0.5491105,0.3129753,0.18511635,0.19667004,0.13805762,0.098629035,0.0807758,0.10040182,0.094876185,0.105473146
12,7303.0,228.21875,22.890684,2024.0,0.49104875,0.004245412,0.027424473,8.0,1.375,0.3780638,1033.0,0.0,925.0,0.0,870.0,0.0,871.0,0.0,924.0,0.0,899.0,0.0,898.0,0.0,883.0,0.0,0.06511021,0.24240752,-0.047878414,0.0099837575,0.026538262,-0.102218375,-0.08836068,-0.05397403,0.1382735,0.19274864,0.13690387,0.17182797,0.06130145,0.13808449,0.037260436,0.12359965
13,15419.0,481.84375,140.68407,3072.0,0.529236,0.002010637,0.01449327,7.0,2.4285715,0.65069073,1945.0,0.0,2069.0,0.0,1674.0,0.0,1201.0,0.0,1767.0,0.0,1730.0,0.0,2468.0,0.0,2565.0,0.0,0.46957302,0.16305596,0.1040066,0.16173498,0.2756285,0.33547714,0.1095372,-0.16791436,0.32494333,0.0979248,0.04009754,0.064204425,0.22448404,0.1735422,0.049371075,0.025432607
14,17539.0,548.09375,130.49841,3187.0,0.52697676,0.0017675904,0.012969259,7.0,2.5714285,0.66218144,1607.0,0.0,2060.0,0.0,2026.0,0.0,2098.0,0.0,2561.0,0.0,2619.0,0.0,2439.0,0.0,2129.0,0.0,0.17193133,-0.17539985,0.39878437,0.22736557,-0.26566887,-0.009094741,0.29387003,0.048564907,0.27258912,0.09660478,0.17426741,0.12914504,0.03438409,0.065652885,0.03631077,0.19104591
15,6248.0,195.25,56.49447,2240.0,0.4958903,0.004962382,0.0312798,5.0,2.4,0.4678297,1092.0,0.0,515.0,0.0,744.0,0.0,768.0,0.0,689.0,0.0,761.0,0.0,880.0,0.0,799.0,0.0,0.5092252,0.13457462,-0.18682869,-0.23719794,-0.20831926,-0.17526461,-0.18981747,-0.1678612,0.13427508,0.16093336,0.18929033,0.16268428,0.13599332,0.13062558,0.027551563,0.058646504
16,8283.0,258.84375,44.553417,2527.0,0.4825157,0.0037430571,0.024651695,5.0,2.6,0.47349995,1093.0,0.0,1092.0,0.0,1315.0,0.0,895.0,0.0,900.0,0.0,1039.0,0.0,965.0,0.0,984.0,0.0,0.5963436,0.10962328,-0.10031616,-0.089603916,-0.023762565,0.048969798,0.054224137,0.016744053,0.18456246,0.16427758,0.10378971,0.18195562,0.16202135,0.04475149,0.1439053,0.014736494
17,12405.0,387.65625,74.07285,2599.0,0.4826904,0.002499194,0.017470706,4.0,3.5,0.51334137,1796.0,0.0,1181.0,0.0,1726.0,0.0,1864.0,0.0,1681.0,0.0,1481.0,0.0,1289.0,0.0,1387.0,0.0,0.5779633,0.3882256,0.07554005,-0.08122587,-0.07601373,-0.018584004,-0.12846296,-0.11004814,0.19323926,0.1962329,0.13624687,0.16543362,0.105816774,0.123262584,0.03636222,0.043405764
18,11021.0,344.40625,51.649574,2447.0,0.5100702,0.002813067,0.0193316,5.0,3.6,0.62471646,1250.0,0.0,1248.0,0.0,1576.0,0.0,1314.0,0.0,1463.0,0.0,1159.0,0.0,1626.0,0.0,1385.0,0.0,0.45655164,0.028345115,-0.1365452,-0.35274673,-0.33083117,-0.17233121,-0.11622163,0.067631714,0.05181831,0.21798894,0.16167878,0.24237756,0.041203406,0.12240431,0.11166113,0.050867572
19,3828.0,119.625,49.70208,1853.0,0.4492028,0.00810034,0.04707746,6.0,1.6666666,0.43286312,772.0,0.0,509.0,0.0,521.0,0.0,352.0,0.0,365.0,0.0,423.0,0.0,423.0,0.0,463.0,0.0,0.26610678,0.026707554,0.068929315,0.11675991,0.05196803,0.097649656,0.08156618,-0.017258173,0.20630701,0.09305155,0.15232943,0.14538184,0.09601188,0.16417919,0.074494876,0.06824421
20,10439.0,326.21875,60.643288,2857.0,0.5044946,0.0029699176,0.02024811,7.0,2.2857144,0.5770668,1092.0,0.0,1400.0,0.0,1230.0,0.0,1451.0,0.0,1377.0,0.0,1299.0,0.0,1419.0,0.0,1171.0,0.0,0.20216335,-0.2684559,-0.21047422,-0.17492852,0.14133258,0.035600215,-0.14796066,0.13286296,0.120696746,0.08651632,0.11391873,0.13158189,0.14874263,0.13912372,0.17622052,0.08319944
21,19493.0,609.15625,347.77887,2881.0,0.5034843,0.001590396,0.01183728,7.0,2.5714285,0.80003077,2956.0,0.0,2236.0,0.0,1026.0,0.0,3015.0,0.0,2518.0,0.0,2632.0,0.0,3298.0,0.0,1812.0,0.0,0.221202,-0.18336272,-0.10635688,-0.24776718,-0.26360238,0.20152617,0.35681728,0.09767385,0.14319208,0.0769099,0.12142415,0.22824915,0.27275833,0.011471236,0.050110474,0.09588466
22,14154.0,442.3125,86.89737,3079.0,0.4969734,0.0021903482,0.015600972,9.0,1.8888888,0.6176346,1825.0,0.0,1534.0,0.0,1688.0,0.0,2087.0,0.0,1783.0,0.0,1889.0,0.0,1672.0,0.0,1676.0,0.0,0.08700774,-0.44145283,0.16465339,0.28910962,-0.03445894,-0.16651236,-0.20790829,0.052202426,0.16708691,0.08888123,0.10288168,0.073647544,0.044144172,0.042656396,0.1782989,0.30240318
